,日期,风向,风级
0,2021-01-01,东南风,1
1,2021-01-02,东风,1
2,2021-01-03,南风,2
3,2021-01-04,东北风,1
4,2021-01-05,东北风,2
5,2021-01-06,东北风,2
6,2021-01-07,东北风,3
7,2021-01-08,南风,2
8,2021-01-09,南风,1
9,2021-01-10,东风,2
10,2021-01-11,南风,2
11,2021-01-12,南风,1
12,2021-01-13,东南风,1
13,2021-01-14,南风,1
14,2021-01-15,东风,2
15,2021-01-16,东北风,2
16,2021-01-17,南风,2
17,2021-01-18,东南风,1
18,2021-01-19,东北风,1
19,2021-01-20,东北风,2
20,2021-01-21,南风,2
21,2021-01-22,南风,2
22,2021-01-23,东北风,2
23,2021-01-24,东北风,2
24,2021-01-25,西南风,2
25,2021-01-26,东风,2
26,2021-01-27,东北风,2
27,2021-01-28,东南风,2
28,2021-02-01,南风,1
29,2021-02-02,东南风,3
30,2021-02-03,北风,1
31,2021-02-04,东北风,2
32,2021-02-05,南风,2
33,2021-02-06,东风,2
34,2021-02-07,南风,2
35,2021-02-08,东南风,2
36,2021-02-09,东风,1
37,2021-02-10,南风,2
38,2021-02-11,东风,2
39,2021-02-12,东南风,2
40,2021-02-13,北风,2
41,2021-02-14,东南风,2
42,2021-02-15,东风,2
43,2021-02-16,南风,2
44,2021-02-17,东南风,2
45,2021-02-18,南风,2
46,2021-02-19,南风,2
47,2021-02-20,南风,2
48,2021-02-21,东南风,2
49,2021-02-22,东北风,4
50,2021-02-23,南风,2
51,2021-02-24,东北风,2
52,2021-02-25,东北风,2
53,2021-02-26,东风,2
54,2021-02-27,东北风,2
55,2021-02-28,东北风,2
56,2021-03-01,西南风,3
57,2021-03-02,东风,2
58,2021-03-03,东南风,1
59,2021-03-04,东北风,1
60,2021-03-05,东风,2
61,2021-03-06,南风,2
62,2021-03-07,东北风,2
63,2021-03-08,东北风,2
64,2021-03-09,西北风,1
65,2021-03-10,北风,1
66,2021-03-11,东南风,1
67,2021-03-12,东北风,2
68,2021-03-13,东南风,1
69,2021-03-14,东北风,2
70,2021-03-15,东风,1
71,2021-03-16,东风,1
72,2021-03-17,东北风,3
73,2021-03-18,北风,2
74,2021-03-19,东北风,3
75,2021-03-20,东南风,2
76,2021-03-21,南风,2
77,2021-03-22,东南风,2
78,2021-03-23,南风,2
79,2021-03-24,东北风,2
80,2021-03-25,东北风,2
81,2021-03-26,西风,2
82,2021-03-27,南风,2
83,2021-03-28,东南风,1
84,2021-04-01,东北风,2
85,2021-04-02,西南风,1
86,2021-04-03,东风,2
87,2021-04-04,北风,2
88,2021-04-05,东北风,2
89,2021-04-06,东北风,2
90,2021-04-07,南风,2
91,2021-04-08,东北风,2
92,2021-04-09,东北风,2
93,2021-04-10,东北风,2
94,2021-04-11,东北风,2
95,2021-04-12,东风,1
96,2021-04-13,东风,2
97,2021-04-14,北风,2
98,2021-04-15,西南风,3
99,2021-04-16,东风,2
100,2021-04-17,东风,2
101,2021-04-18,东北风,2
102,2021-04-19,东北风,2
103,2021-04-20,东北风,1
104,2021-04-21,东风,2
105,2021-04-22,东北风,2
106,2021-04-23,东北风,2
107,2021-04-24,东北风,2
108,2021-04-25,东北风,2
109,2021-04-26,东南风,2
