日期,最高气温,最低气温,天气,风向
2021-01-01 星期五,9℃,2℃,阴,东南风 1级
2021-01-02 星期六,7℃,3℃,多云,东风 1级
2021-01-03 星期日,11℃,3℃,晴,南风 2级
2021-01-04 星期一,5℃,4℃,阴,东北风 1级
2021-01-05 星期二,10℃,3℃,阴,东北风 2级
2021-01-06 星期三,7℃,0℃,阴,东北风 2级
2021-01-07 星期四,4℃,0℃,多云,东北风 3级
2021-01-08 星期五,4℃,0℃,晴,南风 2级
2021-01-09 星期六,4℃,1℃,阴,南风 1级
2021-01-10 星期日,5℃,0℃,阴,东风 2级
2021-01-11 星期一,8℃,-2℃,晴,南风 2级
2021-01-12 星期二,10℃,-1℃,多云,南风 1级
2021-01-13 星期三,11℃,0℃,霾,东南风 1级
2021-01-14 星期四,12℃,2℃,晴,南风 1级
2021-01-15 星期五,14℃,3℃,阴,东风 2级
2021-01-16 星期六,9℃,4℃,阴,东北风 2级
2021-01-17 星期日,11℃,0℃,晴,南风 2级
2021-01-18 星期一,11℃,1℃,晴,东南风 1级
2021-01-19 星期二,10℃,3℃,多云,东北风 1级
2021-01-20 星期三,10℃,6℃,多云,东北风 2级
2021-01-21 星期四,15℃,4℃,阴,南风 2级
2021-01-22 星期五,17℃,5℃,多云,南风 2级
2021-01-23 星期六,14℃,8℃,多云,东北风 2级
2021-01-24 星期日,11℃,7℃,小雨,东北风 2级
2021-01-25 星期一,10℃,5℃,多云,西南风 2级
2021-01-26 星期二,14℃,6℃,阴,东风 2级
2021-01-27 星期三,13℃,5℃,阴,东北风 2级
2021-01-28 星期四,14℃,6℃,阴,东南风 2级
2021-02-01 星期一,17℃,6℃,阴,南风 1级
2021-02-02 星期二,8℃,-1℃,晴,东南风 3级
2021-02-03 星期三,15℃,9℃,多云,北风 1级
2021-02-04 星期四,12℃,8℃,多云,东北风 2级
2021-02-05 星期五,18℃,6℃,晴,南风 2级
2021-02-06 星期六,17℃,6℃,多云,东风 2级
2021-02-07 星期日,20℃,6℃,晴,南风 2级
2021-02-08 星期一,18℃,8℃,多云,东南风 2级
2021-02-09 星期二,18℃,9℃,阴,东风 1级
2021-02-10 星期三,19℃,9℃,阴,南风 2级
2021-02-11 星期四,19℃,8℃,阴,东风 2级
2021-02-12 星期五,20℃,9℃,多云,东南风 2级
2021-02-13 星期六,19℃,8℃,晴,北风 2级
2021-02-14 星期日,20℃,9℃,阴,东南风 2级
2021-02-15 星期一,16℃,9℃,阴,东风 2级
2021-02-16 星期二,21℃,9℃,阴,南风 2级
2021-02-17 星期三,19℃,9℃,阴,东南风 2级
2021-02-18 星期四,18℃,10℃,阴,南风 2级
2021-02-19 星期五,21℃,9℃,多云,南风 2级
2021-02-20 星期六,22℃,10℃,晴,南风 2级
2021-02-21 星期日,24℃,11℃,晴,东南风 2级
2021-02-22 星期一,16℃,5℃,阴,东北风 4级
2021-02-23 星期二,25℃,15℃,多云,南风 2级
2021-02-24 星期三,22℃,12℃,阴,东北风 2级
2021-02-25 星期四,15℃,9℃,阴,东北风 2级
2021-02-26 星期五,13℃,8℃,阴,东风 2级
2021-02-27 星期六,12℃,7℃,阴,东北风 2级
2021-02-28 星期日,11℃,8℃,阴,东北风 2级
2021-03-01 星期一,16℃,8℃,阴,西南风 3级
2021-03-02 星期二,16℃,8℃,多云,东风 2级
2021-03-03 星期三,17℃,7℃,多云,东南风 1级
2021-03-04 星期四,15℃,9℃,阴,东北风 1级
2021-03-05 星期五,18℃,11℃,阴,东风 2级
2021-03-06 星期六,19℃,9℃,小雨,南风 2级
2021-03-07 星期日,15℃,9℃,阴,东北风 2级
2021-03-08 星期一,14℃,11℃,阴,东北风 2级
2021-03-09 星期二,15℃,10℃,阴,西北风 1级
2021-03-10 星期三,16℃,11℃,阴,北风 1级
2021-03-11 星期四,19℃,12℃,阴,东南风 1级
2021-03-12 星期五,19℃,13℃,多云,东北风 2级
2021-03-13 星期六,23℃,14℃,阴,东南风 1级
2021-03-14 星期日,20℃,13℃,阴,东北风 2级
2021-03-15 星期一,26℃,15℃,阴,东风 1级
2021-03-16 星期二,26℃,17℃,多云,东风 1级
2021-03-17 星期三,22℃,14℃,阴,东北风 3级
2021-03-18 星期四,24℃,13℃,阴,北风 2级
2021-03-19 星期五,17℃,9℃,多云,东北风 3级
2021-03-20 星期六,13℃,6℃,阴,东南风 2级
2021-03-21 星期日,14℃,6℃,多云,南风 2级
2021-03-22 星期一,16℃,6℃,多云,东南风 2级
2021-03-23 星期二,20℃,9℃,晴,南风 2级
2021-03-24 星期三,18℃,13℃,阴,东北风 2级
2021-03-25 星期四,17℃,12℃,多云,东北风 2级
2021-03-26 星期五,21℃,12℃,多云,西风 2级
2021-03-27 星期六,27℃,12℃,晴,南风 2级
2021-03-28 星期日,27℃,15℃,晴,东南风 1级
2021-04-01 星期四,18℃,11℃,阴,东北风 2级
2021-04-02 星期五,19℃,11℃,多云,西南风 1级
2021-04-03 星期六,21℃,10℃,多云,东风 2级
2021-04-04 星期日,18℃,10℃,阴,北风 2级
2021-04-05 星期一,18℃,12℃,阴,东北风 2级
2021-04-06 星期二,17℃,13℃,阴,东北风 2级
2021-04-07 星期三,23℃,13℃,阴,南风 2级
2021-04-08 星期四,21℃,13℃,阴,东北风 2级
2021-04-09 星期五,17℃,12℃,阴,东北风 2级
2021-04-10 星期六,15℃,12℃,阴,东北风 2级
2021-04-11 星期日,18℃,12℃,阴,东北风 2级
2021-04-12 星期一,20℃,14℃,小雨,东风 1级
2021-04-13 星期二,20℃,12℃,多云,东风 2级
2021-04-14 星期三,18℃,11℃,多云,北风 2级
2021-04-15 星期四,23℃,9℃,阴,西南风 3级
2021-04-16 星期五,24℃,14℃,阴,东风 2级
2021-04-17 星期六,18℃,15℃,小雨转阴,东风 2级
2021-04-18 星期日,16℃,13℃,阴,东北风 2级
2021-04-19 星期一,18℃,15℃,阴,东北风 2级
2021-04-20 星期二,23℃,15℃,多云,东北风 1级
2021-04-21 星期三,25℃,16℃,晴,东风 2级
2021-04-22 星期四,25℃,17℃,阴,东北风 2级
2021-04-23 星期五,28℃,17℃,多云,东北风 2级
2021-04-24 星期六,23℃,15℃,阴,东北风 2级
2021-04-25 星期日,23℃,14℃,阴,东北风 2级
2021-04-26 星期一,26℃,15℃,阴,东南风 2级
2021-04-27 星期二,27℃,14℃,小雨,东南风 2级
2021-04-28 星期三,24℃,12℃,阴,西北风 2级
2021-05-01 星期六,34℃,20℃,阴,西南风 2级
2021-05-02 星期日,32℃,18℃,多云,东北风 3级
2021-05-03 星期一,28℃,15℃,多云,东北风 2级
2021-05-04 星期二,21℃,14℃,小雨转阴,西风 2级
2021-05-05 星期三,22℃,15℃,小雨到中雨,南风 2级
2021-05-06 星期四,22℃,16℃,小雨转阴,南风 1级
2021-05-07 星期五,27℃,17℃,阴,南风 2级
2021-05-08 星期六,30℃,18℃,晴,南风 2级
2021-05-09 星期日,31℃,21℃,小雨转多云,南风 1级
2021-05-10 星期一,26℃,20℃,多云,东北风 3级
2021-05-11 星期二,30℃,20℃,阴,西南风 2级
2021-05-12 星期三,26℃,19℃,小雨转阴,东北风 2级
2021-05-13 星期四,26℃,20℃,阴,东北风 1级
2021-05-14 星期五,26℃,18℃,小雨转阴,东北风 2级
2021-05-15 星期六,25℃,17℃,小雨到中雨,东北风 2级
2021-05-16 星期日,27℃,16℃,小雨转阴,西南风 2级
2021-05-17 星期一,26℃,16℃,小雨到中雨,西风 2级
2021-05-18 星期二,25℃,17℃,小雨到中雨,西南风 2级
2021-05-19 星期三,25℃,17℃,多云,西南风 2级
2021-05-20 星期四,25℃,16℃,小雨到大雨,南风 3级
2021-05-21 星期五,24℃,18℃,小雨转阴,东南风 2级
2021-05-22 星期六,23℃,17℃,小雨到中雨,东北风 2级
2021-05-23 星期日,21℃,16℃,阴,西南风 2级
2021-05-24 星期一,28℃,17℃,多云,南风 2级
2021-05-25 星期二,19℃,16℃,小雨,东风 1级
2021-05-26 星期三,22℃,17℃,阴,西南风 2级
2021-05-27 星期四,27℃,19℃,小雨转阴,东南风 2级
2021-05-28 星期五,30℃,19℃,晴,北风 3级
2021-06-01 星期二,29℃,20℃,小雨转多云,西风 2级
2021-06-02 星期三,28℃,19℃,小雨,南风 2级
2021-06-03 星期四,24℃,16℃,阴,西风 3级
2021-06-04 星期五,32℃,18℃,多云,南风 2级
2021-06-05 星期六,33℃,18℃,多云,西南风 2级
2021-06-06 星期日,30℃,21℃,阴,西南风 1级
2021-06-07 星期一,26℃,20℃,阴,西南风 2级
2021-06-08 星期二,24℃,19℃,小雨,西南风 2级
2021-06-09 星期三,23℃,19℃,阴,东风 2级
2021-06-10 星期四,29℃,19℃,多云,南风 2级
2021-06-11 星期五,29℃,20℃,多云,东北风 1级
2021-06-12 星期六,27℃,23℃,阴,东北风 2级
2021-06-13 星期日,27℃,23℃,小雨转阴,东北风 2级
2021-06-14 星期一,29℃,22℃,小雨,东北风 2级
2021-06-15 星期二,29℃,23℃,阴,东北风 2级
2021-06-16 星期三,27℃,20℃,小雨到大雨,东北风 2级
2021-06-17 星期四,27℃,18℃,阴,东北风 1级
2021-06-18 星期五,23℃,20℃,阴,南风 1级
2021-06-19 星期六,29℃,21℃,多云,东南风 1级
2021-06-20 星期日,31℃,21℃,阴,东风 2级
2021-06-21 星期一,30℃,22℃,阴,西南风 1级
2021-06-22 星期二,35℃,23℃,阴,西南风 1级
2021-06-23 星期三,29℃,23℃,阴,东风 2级
2021-06-24 星期四,23℃,20℃,阴,东北风 2级
2021-06-25 星期五,26℃,21℃,阴,东北风 2级
2021-06-26 星期六,28℃,23℃,阴,东风 1级
2021-06-27 星期日,33℃,24℃,多云,东南风 1级
2021-06-28 星期一,32℃,24℃,多云,东北风 2级
2021-07-01 星期四,32℃,23℃,阴,东北风 2级
2021-07-02 星期五,27℃,20℃,多云,东风 2级
2021-07-03 星期六,34℃,22℃,阴到小雨,南风 2级
2021-07-04 星期日,33℃,23℃,阴,东南风 2级
2021-07-05 星期一,27℃,24℃,阴,南风 2级
2021-07-06 星期二,31℃,24℃,多云,南风 2级
2021-07-07 星期三,33℃,24℃,阴,东南风 1级
2021-07-08 星期四,31℃,23℃,阴,东风 2级
2021-07-09 星期五,29℃,23℃,小雨到中雨,东北风 2级
2021-07-10 星期六,28℃,22℃,小雨转阴,北风 2级
2021-07-11 星期日,32℃,23℃,晴,东南风 1级
2021-07-12 星期一,33℃,24℃,晴,东风 1级
2021-07-13 星期二,34℃,25℃,阴,东南风 1级
2021-07-14 星期三,34℃,23℃,阴,东北风 2级
2021-07-15 星期四,25℃,23℃,小雨到大雨,东北风 3级
2021-07-16 星期五,26℃,23℃,多云,北风 3级
2021-07-17 星期六,34℃,23℃,多云,东北风 2级
2021-07-18 星期日,33℃,23℃,晴,西风 1级
2021-07-19 星期一,32℃,23℃,中雨到暴雨,东南风 1级
2021-07-20 星期二,30℃,23℃,小雨,北风 2级
2021-07-21 星期三,34℃,24℃,多云,北风 2级
2021-07-22 星期四,32℃,24℃,小雨,东北风 2级
2021-07-23 星期五,33℃,23℃,阴,东北风 1级
2021-07-24 星期六,28℃,23℃,多云,东北风 2级
2021-07-25 星期日,32℃,23℃,阴,南风 1级
2021-07-26 星期一,30℃,25℃,多云,西北风 2级
2021-07-27 星期二,34℃,21℃,晴,西南风 2级
2021-07-28 星期三,36℃,24℃,多云,西北风 1级
2021-08-01 星期日,34℃,24℃,晴,东南风 1级
2021-08-02 星期一,40℃,25℃,晴,西南风 2级
2021-08-03 星期二,37℃,24℃,晴,北风 2级
2021-08-04 星期三,33℃,25℃,晴,东南风 2级
2021-08-05 星期四,25℃,22℃,阴,北风 2级
2021-08-06 星期五,33℃,24℃,阴,东南风 1级
2021-08-07 星期六,29℃,24℃,阴,东北风 2级
2021-08-08 星期日,29℃,22℃,阴,东北风 2级
2021-08-09 星期一,35℃,26℃,小雨到大雨,东风 2级
2021-08-10 星期二,35℃,24℃,多云,东北风 2级
2021-08-11 星期三,31℃,22℃,小雨到中雨,东北风 2级
2021-08-12 星期四,25℃,21℃,阴,北风 2级
2021-08-13 星期五,30℃,22℃,阴,西南风 2级
2021-08-14 星期六,30℃,22℃,阴,东北风 2级
2021-08-15 星期日,30℃,22℃,小雨转阴,东风 2级
